Sample,Date,Actual,Predicted
330,2021-05-14,1.2114,1.2073047
330,2021-05-17,1.2073,1.2081419
330,2021-05-18,1.2061,1.2078537
331,2021-05-13,1.2147,1.2067454
331,2021-05-14,1.2114,1.2072897
331,2021-05-17,1.2073,1.2078236
331,2021-05-18,1.2061,1.2088428
331,2021-05-19,1.2089,1.2083219
332,2021-05-14,1.2114,1.2104565
332,2021-05-17,1.2073,1.2108076
332,2021-05-18,1.2061,1.2109373
332,2021-05-19,1.2089,1.2120397
332,2021-05-20,1.2049,1.2113788
333,2021-05-17,1.2073,1.210012
333,2021-05-18,1.2061,1.2104049
333,2021-05-19,1.2089,1.2109104
333,2021-05-20,1.2049,1.2117319
333,2021-05-21,1.2072,1.2113385
334,2021-05-18,1.2061,1.2062272
334,2021-05-19,1.2089,1.206756
334,2021-05-20,1.2049,1.2078545
334,2021-05-21,1.2072,1.2083751
334,2021-05-24,1.2082,1.2082974
335,2021-05-19,1.2089,1.2038051
335,2021-05-20,1.2049,1.2043728
335,2021-05-21,1.2072,1.2055992
335,2021-05-24,1.2082,1.2061219
335,2021-05-25,1.2069,1.2060732
336,2021-05-20,1.2049,1.2050663
336,2021-05-21,1.2072,1.205571
336,2021-05-24,1.2082,1.2063756
336,2021-05-25,1.2069,1.2071403
336,2021-05-26,1.2111,1.2068948
337,2021-05-21,1.2072,1.2031829
337,2021-05-24,1.2082,1.2038034
337,2021-05-25,1.2069,1.2047181
337,2021-05-26,1.2111,1.2054203
337,2021-05-27,1.2075,1.2052988
338,2021-05-24,1.2082,1.203066
338,2021-05-25,1.2069,1.2036955
338,2021-05-26,1.2111,1.2044917
338,2021-05-27,1.2075,1.2052449
338,2021-05-28,1.2087,1.2050805
339,2021-05-25,1.2069,1.2042081
339,2021-05-26,1.2111,1.2048109
339,2021-05-27,1.2075,1.2054453
339,2021-05-28,1.2087,1.20626
339,2021-06-01,1.2031,1.206035
340,2021-05-26,1.2111,1.2037871
340,2021-05-27,1.2075,1.2044542
340,2021-05-28,1.2087,1.2051765
340,2021-06-01,1.2031,1.2059168
340,2021-06-02,1.2047,1.205785
341,2021-05-27,1.2075,1.206174
341,2021-05-28,1.2087,1.2067627
341,2021-06-01,1.2031,1.20729
341,2021-06-02,1.2047,1.2081151
341,2021-06-03,1.2116,1.2078993
342,2021-05-28,1.2087,1.2049547
342,2021-06-01,1.2031,1.2056575
342,2021-06-02,1.2047,1.2064694
342,2021-06-03,1.2116,1.207141
342,2021-06-04,1.2088000000000003,1.2071271
343,2021-06-01,1.2031,1.204513
343,2021-06-02,1.2047,1.205268
343,2021-06-03,1.2116,1.2061099
343,2021-06-04,1.2088000000000003,1.2067634
343,2021-06-07,1.2062,1.2067952
344,2021-06-02,1.2047,1.2008071
344,2021-06-03,1.2116,1.2017288
344,2021-06-04,1.2088000000000003,1.2029026
344,2021-06-07,1.2062,1.2034196
344,2021-06-08,1.2101,1.2036397
345,2021-06-03,1.2116,1.1997839
345,2021-06-04,1.2088000000000003,1.2007052
345,2021-06-07,1.2062,1.2016877
345,2021-06-08,1.2101,1.2023327
345,2021-06-09,1.2102,1.2024331
346,2021-06-04,1.2088000000000003,1.2049288
346,2021-06-07,1.2062,1.2056099
346,2021-06-08,1.2101,1.2058787
346,2021-06-09,1.2102,1.2068765
346,2021-06-10,1.2095,1.2065946
347,2021-06-07,1.2062,1.2055846
347,2021-06-08,1.2101,1.2063192
347,2021-06-09,1.2102,1.2067345
347,2021-06-10,1.2095,1.2075932
347,2021-06-11,1.2162,1.2074496
